DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2008,10.6,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2009,0.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2010,2.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2011,5.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2012,4.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2013,3.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2014,0.5,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2015,0.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2016,0.8,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2017,3.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2018,3.4,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2019,2.3,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2020,-0.6,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2021,4.5,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2022,19.4,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EE,2023,9.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2004,2.3,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2005,2.3,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2006,2.3,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2007,2.4,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2008,3.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2009,1.0,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2010,2.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2011,3.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2012,2.6,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2013,1.5,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2014,0.6,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2015,0.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2016,0.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2017,1.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2018,1.9,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,EU28,2019,1.5,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2004,6.8,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2005,3.5,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2006,4.0,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2007,7.9,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2008,6.0,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2009,4.0,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2010,4.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2011,3.9,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2012,5.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2013,1.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2014,0.0,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2015,0.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2016,0.4,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2017,2.4,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2018,2.9,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2019,3.4,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2020,3.4,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2021,5.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2022,15.3,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,HU,2023,17.0,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2004,1.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2005,2.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2006,3.8,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2007,5.8,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2008,11.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2009,4.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2010,1.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2011,4.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2012,3.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2013,1.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2014,0.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2015,-0.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2016,0.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2017,3.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2018,2.5,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2019,2.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2020,1.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2021,4.6,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2022,18.9,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LT,2023,8.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2004,6.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2005,6.9,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2006,6.6,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2007,10.1,
